danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,titolo
0.453,0.987,0.316,0.0195,0.0889,0.283,0.268,123.544,Welcome To The Jungle
0.0,0.111,0.0,0.119,0.0,0.852,0.112,0.0,Midnight Moon
0.643,0.612,0.537,0.112,0.0512,0.722,0.109,79.089,Twenty Fifteen
0.487,0.115,0.116,0.909,0.0384,0.893,0.286,92.248,Little Flower
0.583,0.677,0.495,0.47,0.439,0.193,0.43,176.119,Teenage Fantasy
0.71,0.662,0.755,0.42,0.175,0.0,0.0723,130.037,On My Mind (Jorja Smith X Preditah)
0.41,0.298,0.142,0.721,0.0473,0.0,0.158,109.651,Streetcar
0.779,0.653,0.841,0.144,0.206,0.0,0.0955,69.056,Lil Secret
0.871,0.426,0.296,0.487,0.142,0.0545,0.102,131.081,On Me
0.891,0.489,0.794,0.037,0.135,2.12e-05,0.0899,93.515,Like A Blade Of Grass
0.797,0.697,0.861,0.048,0.0472,0.00535,0.0808,114.65,Got To Be Real - Single Version
0.527,0.689,0.31,0.161,0.741,0.0,0.498,170.538,8 Out Of 10
0.478,0.611,0.558,0.0195,0.0299,0.0649,0.164,62.022,You Saved Me
0.762,0.573,0.513,0.00246,0.0262,3.65e-05,0.269,90.982,Things Are Changin'
0.558,0.414,0.318,0.405,0.358,0.0,0.36,127.094,March 14
0.5,0.449,0.104,0.422,0.442,7.96e-06,0.115,144.206,Final Fantasy
0.442,0.345,0.343,0.866,0.277,0.0366,0.251,82.824,The List
0.889,0.372,0.123,0.013,0.357,0.0,0.184,133.997,Blue Tint
0.73,0.576,0.155,0.354,0.287,3.59e-05,0.15,92.131,Love All (with JAY-Z)
0.584,0.627,0.336,0.454,0.102,0.000124,0.127,121.188,Lovefool
0.496,0.541,0.641,0.119,0.0477,0.0,0.0872,133.005,Kiss The breeze
0.295,0.832,0.615,0.00393,0.0631,0.0722,0.102,140.979,Are You Satisfied?
0.277,0.838,0.227,0.0469,0.168,7.81e-06,0.152,133.863,Keeper
0.634,0.551,0.453,0.00737,0.0352,1.82e-05,0.07,151.779,Say It Ain't So
0.597,0.232,0.242,0.727,0.0443,0.317,0.105,118.651,The Man In The Station
0.42,0.077,0.272,0.861,0.0441,0.38,0.0892,53.534,You Are Too Beautiful
0.531,0.0673,0.16,0.926,0.0387,0.642,0.131,117.94,'Round Midnight
0.812,0.661,0.933,0.665,0.0391,0.0365,0.0884,109.995,Yunowhathislifeez - Motorcity Mix
0.735,0.64,0.551,0.052,0.072,0.00102,0.345,104.444,"Fastlove, Pt. 1"
0.854,0.673,0.955,0.038,0.185,0.000227,0.255,95.0,You Rock My World
0.727,0.611,0.555,0.282,0.113,0.0,0.264,159.228,Carousel
0.794,0.551,0.91,0.206,0.0498,1.01e-05,0.289,105.547,It's the Falling in Love
0.45,0.358,0.213,0.499,0.0686,0.000269,0.254,85.269,Closer
0.467,0.41,0.136,0.328,0.185,4.28e-05,0.113,95.931,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)"
0.711,0.608,0.791,0.0446,0.0754,7.56e-05,0.123,82.448,The Message
0.695,0.717,0.61,0.359,0.395,0.0,0.277,75.888,Bitch Niggaz
0.784,0.554,0.634,0.00548,0.03,0.254,0.0995,104.01,Some
0.843,0.483,0.665,0.0848,0.095,7.63e-06,0.0741,109.588,Baby Be Mine
0.814,0.387,0.792,0.0248,0.0946,0.0,0.131,93.961,Sunshine (feat. Lea)
0.649,0.509,0.223,0.181,0.0659,0.000655,0.932,99.813,The Beach
0.601,0.514,0.328,0.496,0.432,0.0,0.123,87.621,Eravamo Re
0.601,0.583,0.32,0.144,0.263,9.73e-05,0.183,148.785,I Am
0.663,0.626,0.494,0.456,0.0567,7.25e-06,0.0984,105.026,Hate the Club (feat. Masego)
0.678,0.355,0.438,0.759,0.0627,7.06e-05,0.114,119.772,Like I Want You
0.538,0.612,0.684,0.308,0.424,0.0,0.213,168.197,Potato Salad
0.708,0.757,0.552,0.0362,0.0791,0.0,0.17,80.976,Doin' Time
0.527,0.906,0.782,0.000524,0.0307,0.00826,0.624,122.709,"Only Heart - Live at Blossom Music Center, Cleveland, Ohio, August 3, 2004"
0.637,0.625,0.896,0.734,0.0382,0.514,0.128,160.748,Misread
0.569,0.733,0.903,0.444,0.0503,0.0,0.0806,82.076,Mama Knows
